normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.029,reduced_mds_euclidean_6_t48-15B-sitemean_All,reduced_mds_euclidean_6_t48-15B-sitemean_All_label,11,886,187,1073,0,886,0.9501890985652728,0.9435258067779588,0.9501890985652728,0.9487398705375536
0.029,reduced_mds_cosine_6_t48-15B-sitemean_All,reduced_mds_cosine_6_t48-15B-sitemean_All_label,11,886,187,1073,0,886,0.9501890985652728,0.9435258067779588,0.9501890985652728,0.9487398705375536
0.029,t48-15B-mean_All,t48-15B-mean_All_label,13,838,235,1073,0,838,0.9502062826627709,0.9313132137305852,0.950206282662771,0.9486630340520728
0.0322,reduced_mds_euclidean_10_t48-15B-mean_All,reduced_mds_euclidean_10_t48-15B-mean_All_label,7,952,121,1073,0,952,0.9370637104824348,0.926985225107793,0.9370637104824348,0.9360667433820896
0.0322,reduced_mds_cosine_10_t48-15B-mean_All,reduced_mds_cosine_10_t48-15B-mean_All_label,7,952,121,1073,0,952,0.9370637104824348,0.926985225107793,0.9370637104824348,0.9360667433820896
0.035,reduced_mds_cosine_8_t48-15B-attentionmean_All,reduced_mds_cosine_8_t48-15B-attentionmean_All_label,8,970,103,1073,0,970,0.9333527040655698,0.9161248517256136,0.9333527040655696,0.9319880557974296
0.035,reduced_mds_euclidean_8_t48-15B-attentionmean_All,reduced_mds_euclidean_8_t48-15B-attentionmean_All_label,8,970,103,1073,0,970,0.9333527040655698,0.9161248517256136,0.9333527040655696,0.9319880557974296
0.0363,reduced_mds_cosine_10_t48-15B-attentionmean_All,reduced_mds_cosine_10_t48-15B-attentionmean_All_label,7,952,121,1073,0,952,0.9296851854456288,0.920365796329861,0.9296851854456288,0.9284478255444368
0.0363,reduced_mds_euclidean_10_t48-15B-attentionmean_All,reduced_mds_euclidean_10_t48-15B-attentionmean_All_label,7,952,121,1073,0,952,0.9296851854456288,0.920365796329861,0.9296851854456288,0.9284478255444368
0.037,reduced_pca_euclidean_4_CARP,reduced_pca_euclidean_4_CARP_label,7,1004,69,1073,0,1004,0.9286080968309524,0.9313677907401914,0.928608096830952,0.9272157158856285
