normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.0385,reduced_t-sne_euclidean_2_protbert,reduced_t-sne_euclidean_2_protbert_label,6,1071,2,1073,0,1071,0.9259055956490778,0.9164421008264688,0.925905595649078,0.9245092603256998
0.059,mds,mds_label,7,1037,36,1073,0,1037,0.8825940185318109,0.8710947430889383,0.8825940185318107,0.8804928989208058
0.0661,umap,umap_label,6,1073,0,1073,0,1073,0.8690600709379994,0.8387357238723463,0.8690600709379994,0.8666215377123369
0.0664,t-sne,t-sne_label,6,1073,0,1073,0,1073,0.868315441098361,0.8377456965189174,0.868315441098361,0.8658644017655039
0.0675,reduced_t-sne_cosine_2_t33-650M-mean_All,reduced_t-sne_cosine_2_t33-650M-mean_All_label,9,1067,6,1073,0,1067,0.8782415850134407,0.8733426930964773,0.8782415850134407,0.8750995522439388
0.0697,pca,pca_label,5,1067,6,1073,0,1067,0.8548416140078131,0.7906118689246895,0.8548416140078131,0.8527853772640086
0.0712,reduced_t-sne_euclidean_2_CARP,reduced_t-sne_euclidean_2_CARP_label,10,1066,7,1073,0,1066,0.8743009332529261,0.8446385077876228,0.874300933252926,0.8708082876714833
0.0746,genetic,genetic_label,8,1038,35,1073,0,1038,0.8559343423320117,0.844306541044655,0.8559343423320117,0.8533104047170266
0.0754,reduced_t-sne_cosine_2_t36-3B-attentionmean_All,reduced_t-sne_cosine_2_t36-3B-attentionmean_All_label,9,1068,5,1073,0,1068,0.864518184544217,0.86909411317419,0.864518184544217,0.8610743695155355
0.0778,reduced_t-sne_cosine_2_t36-3B-mean_All,reduced_t-sne_cosine_2_t36-3B-mean_All_label,9,1071,2,1073,0,1071,0.8605090978643007,0.8629942573905282,0.8605090978643007,0.8569088387068526
0.0788,reduced_t-sne_cosine_2_t33-650M-attentionmean_All,reduced_t-sne_cosine_2_t33-650M-attentionmean_All_label,7,1070,3,1073,0,1070,0.8511268464653615,0.8312369380058537,0.8511268464653616,0.8479571350048564
0.082,reduced_t-sne_cosine_2_t33-650M-sitemean_All,reduced_t-sne_cosine_2_t33-650M-sitemean_All_label,7,1072,1,1073,0,1072,0.8450726897426852,0.83612308929006,0.8450726897426851,0.8417788531206646
0.1442,reduced_mds_cosine_8_t36-3B-sitemean_All,reduced_mds_cosine_8_t36-3B-sitemean_All_label,19,616,457,1073,0,616,0.7972531184652666,0.5455091357921297,0.7972531184652667,0.7883005717485496
0.1633,reduced_t-sne_euclidean_2_prot5,reduced_t-sne_euclidean_2_prot5_label,9,1064,9,1073,0,1064,0.685927078258472,0.3827506305218653,0.6859270782584719,0.6776922584219585
0.168,reduced_t-sne_euclidean_2_t33-650M-bos_All,reduced_t-sne_euclidean_2_t33-650M-bos_All_label,4,1071,2,1073,0,1071,0.6248583364225266,0.5106171145708205,0.6248583364225266,0.6198494825541034
0.1725,reduced_t-sne_cosine_2_t36-3B-bos_All,reduced_t-sne_cosine_2_t36-3B-bos_All_label,9,1071,2,1073,0,1071,0.6605928135770955,0.4799641445334101,0.6605928135770956,0.6516436778469286
