normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.0663,t-sne,t-sne_label,11,1509,14,1523,0,1509,0.8853604309892104,0.8145483830162199,0.8853604309892104,0.8834499699867
0.0856,mds,mds_label,10,1458,65,1523,0,1458,0.8395620318868268,0.7009386441016715,0.8395620318868269,0.8370717513964746
0.0913,pca,pca_label,7,1480,43,1523,0,1480,0.8241560346103866,0.6909021652687276,0.8241560346103867,0.8221704681575571
0.093,umap,umap_label,9,1523,0,1523,0,1523,0.835453043306534,0.6882557393205103,0.835453043306534,0.8332427928526875
0.1101,reduced_t-sne_euclidean_2_CARP,reduced_t-sne_euclidean_2_CARP_label,11,1523,0,1523,0,1523,0.8011324667000319,0.6494377456232759,0.8011324667000319,0.7976791070096556
0.1296,reduced_t-sne_cosine_2_t33-650M-mean_All,reduced_t-sne_cosine_2_t33-650M-mean_All_label,9,1520,3,1523,0,1520,0.7655552553084713,0.6625411907356104,0.7655552553084713,0.762317582167667
0.1377,reduced_t-sne_cosine_2_t36-3B-mean_All,reduced_t-sne_cosine_2_t36-3B-mean_All_label,11,1511,12,1523,0,1511,0.7524890538419837,0.5970871553151504,0.7524890538419837,0.7481813758716072
0.1392,reduced_t-sne_cosine_2_t33-650M-attentionmean_All,reduced_t-sne_cosine_2_t33-650M-attentionmean_All_label,10,1522,1,1523,0,1522,0.7520151599587076,0.6375295300798727,0.7520151599587075,0.7482100308072788
0.1399,reduced_t-sne_euclidean_2_protbert,reduced_t-sne_euclidean_2_protbert_label,7,1521,2,1523,0,1521,0.717197021880948,0.4823385214873145,0.7171970218809478,0.7139334027340045
0.1458,genetic,genetic_label,17,1432,91,1523,0,1432,0.7470986700755251,0.6339132680192929,0.747098670075525,0.7403032022075233
0.151,reduced_t-sne_cosine_2_t36-3B-attentionmean_All,reduced_t-sne_cosine_2_t36-3B-attentionmean_All_label,10,1521,2,1523,0,1521,0.7123197212820226,0.505425241663569,0.7123197212820227,0.7075816544291691
0.1623,reduced_t-sne_euclidean_2_prot5,reduced_t-sne_euclidean_2_prot5_label,8,1519,4,1523,0,1519,0.6758808309336031,0.4326316817644105,0.6758808309336031,0.6715372292271506
0.1815,reduced_mds_cosine_8_t36-3B-sitemean_All,reduced_mds_cosine_8_t36-3B-sitemean_All_label,32,963,560,1523,0,963,0.7670475123920087,0.5521379887954565,0.7670475123920087,0.7517077672973249
0.2315,reduced_t-sne_cosine_2_t33-650M-sitemean_All,reduced_t-sne_cosine_2_t33-650M-sitemean_All_label,6,1521,2,1523,0,1521,0.4389852125927148,0.1258772085432425,0.4389852125927147,0.4324548854779202
0.2627,reduced_t-sne_euclidean_2_t33-650M-bos_All,reduced_t-sne_euclidean_2_t33-650M-bos_All_label,5,1521,2,1523,0,1521,0.3102247211248727,0.0865246728047983,0.3102247211248727,0.3032636665640828
0.2878,reduced_t-sne_cosine_2_t36-3B-bos_All,reduced_t-sne_cosine_2_t36-3B-bos_All_label,9,1521,2,1523,0,1521,0.3248051011316927,0.0958453723380494,0.3248051011316927,0.3125049857437729
