Accession	Virus Name	Submitter Affiliation	Submitter Names	dataset
MN716422.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Pickett,B.,Fedorova,N.,Amedeo,P.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Arumemi,F.,Cadiz,C.,Hellferscee,H.,Carrim,M.,Treurnicht,F.,Subramoney,K.,Kleynhans,J.,VonGottberg,A.,Wolter,N.,Fourie,C.,Cohen,C.	seasonal-flu-h3n2-ha-2018-2020
MN716316.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Pickett,B.,Fedorova,N.,Amedeo,P.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Arumemi,F.,Cadiz,C.,Hellferscee,H.,Carrim,M.,Treurnicht,F.,Subramoney,K.,Kleynhans,J.,VonGottberg,A.,Wolter,N.,Fourie,C.,Cohen,C.	seasonal-flu-h3n2-ha-2018-2020
MN716141.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Pickett,B.,Fedorova,N.,Amedeo,P.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Arumemi,F.,Cadiz,C.,Hellferscee,H.,Carrim,M.,Treurnicht,F.,Subramoney,K.,Kleynhans,J.,VonGottberg,A.,Wolter,N.,Fourie,C.,Cohen,C.	seasonal-flu-h3n2-ha-2018-2020
MN716066.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Pickett,B.,Fedorova,N.,Amedeo,P.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Arumemi,F.,Cadiz,C.,Hellferscee,H.,Carrim,M.,Treurnicht,F.,Subramoney,K.,Kleynhans,J.,VonGottberg,A.,Wolter,N.,Fourie,C.,Cohen,C.	seasonal-flu-h3n2-ha-2018-2020
MN716039.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Pickett,B.,Fedorova,N.,Amedeo,P.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Arumemi,F.,Cadiz,C.,Hellferscee,H.,Carrim,M.,Treurnicht,F.,Subramoney,K.,Kleynhans,J.,VonGottberg,A.,Wolter,N.,Fourie,C.,Cohen,C.	seasonal-flu-h3n2-ha-2018-2020
MN658587.1	Influenza A virus	First Affiliated Hospital of Guangzhou Medical University, State Key Laboratory of Respiratory Disease	Zeng,Z.,Song,W.,Wang,X.	seasonal-flu-h3n2-ha-2018-2020
MN574271.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Fedorova,N.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Cadiz,C.,Barr,I.	seasonal-flu-h3n2-ha-2018-2020
MN574263.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Fedorova,N.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Cadiz,C.,Barr,I.	seasonal-flu-h3n2-ha-2018-2020
MN574239.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Fedorova,N.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Cadiz,C.,Barr,I.	seasonal-flu-h3n2-ha-2018-2020
MN573959.1	Influenza A virus	J. Craig Venter Institute	Tan,G.,Fedorova,N.,Amedeo,P.,Isom,R.,Hu,L.,Christensen,J.,Miller,J.,Durbin,A.,Williams,T.,Cadiz,C.,Barr,I.	seasonal-flu-h3n2-ha-2018-2020
